id,existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification
151, no checking account,10, existing credits paid back duly till now, radio/television,1924, little, 1 to 4 years,1," male, single", none,4, building society savings agreement/ life insurance,38, none, own,1, skilled employee / official,1, yes, no,1
152, moderate,36, existing credits paid back duly till now, radio/television,5848, little, 1 to 4 years,4," male, single", none,1," car or other, not in attribute 6",24, none, own,1, skilled employee / official,1, none, yes,1
153, little,24, critical account/ other credits existing (not at this bank), car (used),7758, rich, more than 7 years,2," female, divorced/separated/married", none,4, unknown / no property,29, none, rent,1, skilled employee / official,1, none, yes,1
154, little,24, delay in paying off in the past, business,6967, moderate, 4 to 7 years,4," male, single", none,4," car or other, not in attribute 6",36, none, rent,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
155, poor,12, existing credits paid back duly till now, furniture/equipment,1282, little, 1 to 4 years,2," female, divorced/separated/married", none,4," car or other, not in attribute 6",20, none, rent,1, skilled employee / official,1, none, yes,2
156, poor,9, critical account/ other credits existing (not at this bank), repairs,1288, moderate, more than 7 years,3," male, single", guarantor,4, real estate,48, none, own,2, skilled employee / official,2, none, no,1
157, poor,12, all credits at this bank paid back duly, retraining,339, little, more than 7 years,4," male, married/widowed", none,1," car or other, not in attribute 6",45," bank,", own,1, unskilled - resident,1, none, yes,1
158, little,24, existing credits paid back duly till now, car (new),3512, moderate, 4 to 7 years,2," male, single", none,3," car or other, not in attribute 6",38," bank,", own,2, skilled employee / official,1, yes, yes,1
159, no checking account,6, critical account/ other credits existing (not at this bank), radio/television,1898, unknown/ no savings account, 1 to 4 years,1," male, single", none,2, real estate,34, none, own,2, unskilled - resident,2, none, yes,1
160, no checking account,24, critical account/ other credits existing (not at this bank), radio/television,2872, moderate, more than 7 years,3," male, single", none,4, real estate,36, none, own,1, skilled employee / official,2, yes, yes,1
161, no checking account,18, critical account/ other credits existing (not at this bank), car (new),1055, little, less than 1 year,4," female, divorced/separated/married", none,1, building society savings agreement/ life insurance,30, none, own,2, skilled employee / official,1, none, yes,1
162, no checking account,15, existing credits paid back duly till now, domestic appliances,1262, quite rich, 4 to 7 years,4," male, single", none,3, building society savings agreement/ life insurance,36, none, own,2, skilled employee / official,1, yes, yes,1
163, little,10, existing credits paid back duly till now, car (new),7308, little, unemployed,2," male, single", none,4, unknown / no property,70," bank,", for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
164, no checking account,36, existing credits paid back duly till now, car (new),909, quite rich, more than 7 years,4," male, single", none,4, building society savings agreement/ life insurance,36, none, own,1, skilled employee / official,1, none, yes,1
165, no checking account,6, existing credits paid back duly till now, furniture/equipment,2978, quite rich, 1 to 4 years,1," male, single", none,2," car or other, not in attribute 6",32, none, own,1, skilled employee / official,1, yes, yes,1
166, poor,18, existing credits paid back duly till now, furniture/equipment,1131, little, unemployed,4," female, divorced/separated/married", none,2," car or other, not in attribute 6",33, none, own,1, skilled employee / official,1, none, yes,2
167, little,11, existing credits paid back duly till now, furniture/equipment,1577, rich, less than 1 year,4," female, divorced/separated/married", none,1, real estate,20, none, own,1, skilled employee / official,1, none, yes,1
168, no checking account,24, existing credits paid back duly till now, furniture/equipment,3972, little, 4 to 7 years,2," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,25, none, rent,1, skilled employee / official,1, yes, yes,1
169, little,24, critical account/ other credits existing (not at this bank), business,1935, little, more than 7 years,4," male, divorced/separated", none,4, real estate,31, none, own,2, skilled employee / official,1, yes, yes,2
170, poor,15, no credits taken/ all credits paid back duly, car (new),950, little, more than 7 years,4," male, single", none,3," car or other, not in attribute 6",33, none, rent,2, skilled employee / official,2, none, yes,2
171, no checking account,12, existing credits paid back duly till now, furniture/equipment,763, little, 1 to 4 years,4," female, divorced/separated/married", none,1, real estate,26, none, own,1, skilled employee / official,1, yes, yes,1
172, little,24, delay in paying off in the past, furniture/equipment,2064, little, unemployed,3," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,34, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
173, little,8, existing credits paid back duly till now, radio/television,1414, little, 1 to 4 years,4," male, single", guarantor,2, real estate,33, none, own,1, skilled employee / official,1, none, no,1
174, poor,21, delay in paying off in the past, education,3414, little, less than 1 year,2," male, single", none,1, building society savings agreement/ life insurance,26, none, own,2, skilled employee / official,1, none, yes,2
175, no checking account,30, all credits at this bank paid back duly, car (used),7485, unknown/ no savings account, unemployed,4," female, divorced/separated/married", none,1, real estate,53," bank,", own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
176, poor,12, existing credits paid back duly till now, furniture/equipment,2577, little, 1 to 4 years,2," male, divorced/separated", none,1," car or other, not in attribute 6",42, none, own,1, skilled employee / official,1, none, yes,1
177, poor,6, critical account/ other credits existing (not at this bank), radio/television,338, quite rich, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",52, none, own,2, skilled employee / official,1, none, yes,1
178, no checking account,12, existing credits paid back duly till now, radio/television,1963, little, 4 to 7 years,4," male, single", none,2," car or other, not in attribute 6",31, none, rent,2, management/ self-employed/highly qualified employee/ officer,2, yes, yes,1
179, poor,21, critical account/ other credits existing (not at this bank), car (new),571, little, more than 7 years,4," male, single", none,4, real estate,65, none, own,2, skilled employee / official,1, none, yes,1
180, no checking account,36, delay in paying off in the past, business,9572, little, less than 1 year,1," male, divorced/separated", none,1," car or other, not in attribute 6",28, none, own,2, skilled employee / official,1, none, yes,2
181, little,36, delay in paying off in the past, business,4455, little, 1 to 4 years,2," male, divorced/separated", none,2, real estate,30, stores, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
182, poor,21, all credits at this bank paid back duly, car (new),1647, unknown/ no savings account, 1 to 4 years,4," male, single", none,2, building society savings agreement/ life insurance,40, none, own,2, unskilled - resident,2, none, yes,2
183, no checking account,24, critical account/ other credits existing (not at this bank), furniture/equipment,3777, rich, 1 to 4 years,4," male, single", none,4, real estate,50, none, own,1, skilled employee / official,1, yes, yes,1
